Segment ID,Literal Summary,Conceptual Extraction,Terminology Indexing,Structural Mapping,Data Analysis,Comparative Analysis,Practical Application,Cross-Referencing,Full Text
Segment_1,COGNITIVE  PSYCHOLOGY 9781841695402_1_prelims.indd   i  9781841695402_1_prelims.indd   i 12/21/09   2:05:36 PM  12/21/09   2:05:36 PM  Dedication To Christine with love (M.W.E.) Doubt everything. Find your own light,Explores how recognition influences cognition.,"memory, awareness, emotion",Nested under Chapter on awareness,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on emotion,Used in agent decision-making systems for adaptive learning.,Related to Segment_1121," 

 
 







 

 
 

 
 
 

 
 
 

 
 
 

 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

COGNITIVE 
PSYCHOLOGY
9781841695402_1_prelims.indd   i

9781841695402_1_prelims.indd   i
12/21/09   2:05:36 PM

12/21/09   2:05:36 PM

Dedication
To Christine with love
(M.W.E.)
Doubt everything. Find your own light.
(Buddha)
9781841695402_1_prelims.indd   ii

9781841695402_1_prelims.indd   ii
12/21/09   2:05:36 PM

12/21/09   2:05:36 PM

COGNITIVE 
PSYCHOLOGY
A Student™s Handbook
Sixth Edition
MICHAEL W. EYSENCK
Royal Holloway University of London, UK
MARK T. KEANE
University College Dublin, Ireland
9781841695402_1_prelims.indd   iii

9781841695402_1_prelims.indd   iii
12/21/09   2:05:36 PM

12/21/09   2:05:36 PM







 
 































 

 







 





Preface
viii
1.Approaches to human cognition 1
Introduction
1
Experimental cognitive psychology 2
Cognitive neuroscience: the brain 
in action 
5
Cognitive neuropsychology 
16
Computational cognitive science 20

Comparison of major approaches 28

Outline of this book 
29
Chapter summary 
30
Further reading 
31
PART I: VISUAL 
PERCEPTION AND 

ATTENTION
33
2.Basic processes in visual
perception
35
Introduction
35
Brain systems 
35
Two visual systems: perception and 
action
47
Colour vision 
56
Perception without awareness 
62
Depth and size perception 
68
Chapter summary 
77
Further reading 
78
3.Object and face recognition79
Introduction
79
Perceptual organisation 
80
Theories of object recognition 
85
Cognitive
 
neuroscience approach 
to object recognition 
92
Cognitive neuropsychology of object 
recognition
96
Face recognition 
100
Visual imagery 
110
Chapter summary 
117
Further reading 
118
4.Perception, motion,

and action 121
Introduction
121
Direct perception 
121
Visually guided action 
125
Planning Œ control model 
133
Perception of human motion 
137
Change blindness 
143
Chapter summary 
149
Further reading 
150
5.Attention and performance153
Introduction
153
Focused auditory attention 
154
Focused vis"
Segment_2,ual attention  158 Disorders of visual attention  170 Visual search  176 Cross-modal effects  182 CONTENTS 9781841695402_1_prelims.indd   v 9781841695402_1_prelims.indd   v 12/21/09   2:05:37 PM  12/21/09   2:05:37 PM  vi  COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK Divided attention: dual-task  perf,Explores how perception influences cognition.,"awareness, attention, recognition",Nested under Chapter on memory,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_226,"ual attention 
158
Disorders of visual attention 
170
Visual search 
176
Cross-modal effects 
182
CONTENTS
9781841695402_1_prelims.indd   v
9781841695402_1_prelims.indd   v
12/21/09   2:05:37 PM

12/21/09   2:05:37 PM

vi
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
Divided attention: dual-task 
performance
185
Automatic processing 193
Chapter summary 199

Further reading 201
PART II: MEMORY 203
6.Learning, memory, and
forgetting
205
Introduction
205
Architecture of memory 
205
Working memory 
211
Levels of processing 
223
Implicit learning 
227
Theories of forgetting 
233
Chapter summary 
247
Further reading 
249
7.Long-term memory systems251
Introduction
251
Episodic vs. semantic memory 256
Episodic memory 
259
Semantic memory 
263
Non-declarative memory 
272
Beyond declarative and non-declarative 
memory: amnesia 
278
Long-term memory and the brain 281

Chapter summary 
285
Further reading 
286
8.Everyday memory
289
Introduction
289
Autobiographical memory 
291
Eyewitness testimony 
305
Prospective memory 
315
Chapter summary 
323
Further reading 
324
PART III: LANGUAGE 327
Is language innate? 
327
Whor˚ an hypothesis 
329
Language chapters 
331
9.Reading and speech perception 333
Introduction
333
Reading: introduction 
334
Word recognition 
336
Reading aloud 
340
Reading: eye-movement research 349

Listening to speech 
353
Theories of spoken word recognition 360

Cognitive neuropsychology 
369
Chapter summary 
373
Further reading 
374
10.Language comprehension375
Introduction
375
Parsing
376
Theories of parsing 
377
Pragmatics
386
Individual differences: working 
memory capacity 
391
Discourse processing 
394
Story processing 
400
Chapter summary 
413
Further reading 
415
11.Language production417
Introduction
417
Speech as communication 
418
Planning of speech 
422
Basic aspects of spoken language 424

Speech errors 
426
Theories of speech production 427

Cognitive neuropsychology: speech 
production
436
Writing: the main processes 
442
Spelling
449
Chapter summ"
Segment_3,ary  453 Further reading  455 PART IV: THINKING AND  REASONING 457 12.Problem solving and expertise 459 Introduction 459 Problem solving  460 Transfer of training and analogical  reasoning 477 Expertise 483 Deliberate practice  492 Chapter summary  496 Further reading  498 9781841695402_1_prelims.in,Explores how attention influences cognition.,"recognition, memory, perception",Nested under Chapter on perception,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_1230,"ary 
453
Further reading 
455
PART IV: THINKING AND 
REASONING
457
12.Problem solving and
expertise
459
Introduction
459
Problem solving 
460
Transfer of training and analogical 
reasoning
477
Expertise
483
Deliberate practice 
492
Chapter summary 
496
Further reading 
498
9781841695402_1_prelims.indd   vi
9781841695402_1_prelims.indd   vi
12/21/09   2:05:37 PM

12/21/09   2:05:37 PM

 CONTENTS 
vii
13. Judgement and decision 
making 499
Introduction 499
Judgement research 499

Decision making 513

Basic decision making 514

Complex decision making 525

Chapter summary 531

Further reading 532
14. Inductive and deductive 
reasoning 533
Introduction 533
Inductive reasoning 534

Deductive reasoning 539

Theories of deductive reasoning 546

Brain systems in thinking and 
reasoning 553
Informal reasoning 558

Are humans rational? 562

Chapter summary 566

Further reading 568
PART V: BROADENING 
HORIZONS 569
Cognition and emotion 
569
Consciousness 569
15. Cognition and emotion 571
Introduction 571
Appraisal theories 572

Emotion regulation 577

Multi-level theories 580

Mood and cognition 584

Anxiety, depression, and cognitive 
biases 595
Chapter summary 604

Further reading 605
16. Consciousness 
607
Introduction 607

Measuring conscious experience 612

Brain areas associated with 
consciousness 615
Theories of consciousness 619

Is consciousness unitary? 624

Chapter summary 627

Further reading 628
Glossary 629
References 643

Author index 711

Subject index 733
9781841695402_1_prelims.indd   vii
9781841695402_1_prelims.indd   vii
12/21/09   4:16:37 PM

12/21/09   4:16:37 PM

In the five years since the fifth edition of 
this textbook was published, there have been 

numerous exciting developments in our under-

standing of human cognition. Of greatest 

importance, large numbers of brain-imaging 

studies are revolutionising our knowledge 

rather than just providing us with pretty 

coloured pictures of the brain in action. As a 

consequence, the leading contempo"
Segment_4,"rary approach   to human cognition involves studying the  brain   as well as  behaviour . We have used the term   ﬁcognitive psychologyﬂ in the title of this book   to refer to this approach, which forms the basis   for our coverage of human cognition. Note,   however, that the term ﬁcognitive neuro",Explores how perception influences cognition.,"attention, perception, recognition",Nested under Chapter on awareness,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_150,"rary approach 

to human cognition involves studying the 
brain
 
as well as 
behaviour
. We have used the term 

ﬁcognitive psychologyﬂ in the title of this book 

to refer to this approach, which forms the basis 

for our coverage of human cognition. Note, 

however, that the term ﬁcognitive neuroscienceﬂ 

is often used to describe this approach.
The approaches to human cognition covered 
in this book are more varied than has been 

suggested so far. For example, one approach 

involves mainly laboratory studies on healthy 

individuals, and another approach (cognitive 

neuropsychology) involves focusing on the 

effects of brain damage on cognition. There is 

also computational cognitive science, which 

involves developing computational models of 

human cognition.
We have done our level best in this book 
to identify and discuss the most signi˚
 cant 
research and theorising stemming from the above 

approaches and to integrate all of this informa-

tion. Whether we have succeeded is up to our 

readers to decide. As was the case with previous  

editions of this textbook, both authors have 

had to work hard to keep pace with developments 
in theory and research. For example, the ˚
 rst 
author wrote parts of the book in far-˜
 ung places 
including Macau, Iceland, Istanbul, Hong Kong, 

Southern India, and the Dominican Republic. 

Sadly, there have been several occasions on 

which book writing has had to take precedence 

over sightseeing!
I (Michael Eysenck) would like to express 
my continuing profound gratitude to my wife 

Christine, to whom this book (in common with 

the previous three editions) is appropriately 

dedicated. What she and our three children 
(Fleur, 

William, and Juliet) have added to my life is 

too immense to be captured by mere words.
I (Mark Keane) would like to thank everyone 
at the Psychology Press for their extremely friendly 

and ef˚ cient contributions to the production 

of this book, including Mike Forster, Lucy 

Ken"
Segment_5,"nedy, Tara Stebnicky, Sharla Plant, Mandy   Collison, and Becci Edmondson. We would also like to thank Tony Ward,  Alejandro Lleras, Elizabeth Styles, Nazanin   Derakhshan, Elizabeth Kensinger, Mick Power,   Max Velmans, William Banks, Bruce Bridgeman,   Annukka Lindell, Alan Kennedy, Trevor Harley,",Explores how awareness influences cognition.,"emotion, memory, attention",Nested under Chapter on awareness,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_92,"nedy, Tara Stebnicky, Sharla Plant, Mandy 

Collison, and Becci Edmondson.
We would also like to thank Tony Ward, 
Alejandro Lleras, Elizabeth Styles, Nazanin 

Derakhshan, Elizabeth Kensinger, Mick Power, 

Max Velmans, William Banks, Bruce Bridgeman, 

Annukka Lindell, Alan Kennedy, Trevor Harley, 

Nick Lund, Keith Rayner, Gill Cohen, Bob 

Logie, Patrick Dolan, Michael Doherty, David 

Lagnado, Ken Gilhooly, Ken Manktelow, Charles 

L. Folk who commented on various chapters. 

Their comments proved extremely useful when 

it came to the business of revising the ˚
 rstdraft 
of the entire manuscript.
Michael Eysenck and Mark Keane
PREFACE
9781841695402_1_prelims.indd   viii
9781841695402_1_prelims.indd   viii
1/8/10   9:57:13 AM

1/8/10   9:57:13 AM

between cognitive psychology and cognitive 
neuroscience is often blurred Œ the term ﬁcognitive 

psychologyﬂ can be used in a broader sense to 

include cognitive neuroscience. Indeed, it is in 

that broader sense that it is used in the title of 

this book.
There are several ways in which cognitive 
neuroscientists explore human cognition. First,  

there are brain-imaging techniques, of which 

PET (
positron emission tomography
) and fMRI 

(
functional magnetic resonance imaging
) (both 
discussed in detail later) are probably the best 

known. Second, there are electrophysiological 

techniques involving the recording of electrical 
INTRODUCTION
We are now several years into the third millennium,  

and there is more interest than ever in unravelling 

the mysteries of the human brain and mind. 

This interest is re˜ ected in the recent upsurge 

of scienti˚ c research within cognitive psychology 

and cognitive neuroscience. We will start with 

cognitive psychology. It is concerned with the 

internal processes involved in making sense 

of the environment, and deciding what action 

might be appropriate. These processes include 

attention, perception, learning, memory, language, 

problem solving, reasonin"
Segment_6,"g, and thinking. We   can de˚  ne  cognitive psychology  as involving  the attempt to understand human cognition by   observing the  behaviour  of people performing   various cognitive tasks. The aims of cognitive neuroscientists are  often similar to those of cognitive psychologists.    However, th",Explores how recognition influences cognition.,"awareness, recognition, emotion",Nested under Chapter on attention,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_697,"g, and thinking. We 

can de˚
 ne 
cognitive psychology
 as involving 
the attempt to understand human cognition by 

observing the 
behaviour
 of people performing 

various cognitive tasks.
The aims of cognitive neuroscientists are 
often similar to those of cognitive psychologists.  

However, there is one important difference Œ 

cognitive neuroscientists argue convincingly 

that we need to study the 
brain
 as well as 

behaviour while people engage in cognitive 

tasks. After all, the internal processes involved 

in human cognition occur in the brain, and we 

have increasingly sophisticated ways of studying 

the brain in action. We can de˚
 ne 
cognitive 
neuroscience
 as involving the attempt to use 

information about behaviour and about the 

brain to understand human cognition. As is well 

known, cognitive neuroscientists use brain-

imaging techniques. Note that the distinction 
CHAPTER
1
APPROACHES TO HUMAN 
COGNITION
cognitive psychology:
 an approach that aims 
to understand human cognition by the study of 

behaviour.

cognitive neuroscience:
 an approach that 

aims to understand human cognition by 

combining information from behaviour and the 

brain.

positron emission tomography (PET):
 a 

brain-scanning technique based on the detection 

of positrons; it has reasonable spatial resolution 

but poor temporal resolution.

functional magnetic resonance imaging 

(fMRI):
 a technique based on imaging blood 

oxygenation using an MRI machine; it provides 

information about the location and time course 

of brain processes.
KEY TERMS
9781841695402_4_001.indd   1
9781841695402_4_001.indd   1
12/21/09   2:07:07 PM

12/21/09   2:07:07 PM

2
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
these approaches is discussed throughout the 
rest of this book. We will shortly discuss each of  

these approaches in turn, and you will probably 

˚
 nd it useful to refer back to this chapter when 
reading other chapters. You may ˚ nd the box 

on page 28 especial"
Segment_7,"ly useful, because it provides   a brief summary of the strengths and limitations   of all four approaches. EXPERIMENTAL  COGNITIVE PSYCHOLOGY It is almost as pointless to ask, ﬁWhen did  cognitive psychology start?ﬂ as to inquire,   ﬁHow long is a piece of string?ﬂ However,   the year 1956 was of c",Explores how recognition influences cognition.,"recognition, awareness, memory",Nested under Chapter on perception,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on emotion,Used in agent decision-making systems for adaptive learning.,Related to Segment_370,"ly useful, because it provides 

a brief summary of the strengths and limitations 

of all four approaches.
EXPERIMENTAL 
COGNITIVE PSYCHOLOGY
It is almost as pointless to ask, ﬁWhen did 
cognitive psychology start?ﬂ as to inquire, 

ﬁHow long is a piece of string?ﬂ However, 

the year 1956 was of crucial importance. At 

ameeting at the Massachusetts Institute of 

Technology, Noam Chomsky gave a paper on 

his theory of language, George Miller discussed 

the magic number seven in short-term memory 

(Miller, 1956), and Newell and Simon discussed 

their extremely in˜ uential model called the 

General Problem Solver (see Newell, Shaw, & 

Simon, 1958). In addition, there was the ˚
 rst 
systematic attempt to study concept formation 

from a cognitive perspective (Bruner, Goodnow, 

& Austin, 1956).
At one time, most cognitive psycholo-
gists subscribed to the information-processing 

approach. A 
version of this approach popular 

in the 1970s is shown in Figure 1.1. According 

to this version, a stimulus (an environmental 

event such as a problem or a task) is presented. 

This stimulus causes certain internal cognitive 

processes to occur, and these processes ˚
 nally 
produce the desired response or answer. Processing 

directly affected by the stimulus input is often 

described as 
bottom-up processing
. It was 

typically assumed that only one process occurs 
signals generated by the brain (also discussed 

later). Third, many cognitive neuroscientists 

study the effects of brain damage on human 

cognition. It is assumed that the patterns of 

cognitive impairment shown by brain-damaged 

patients can tell us much about normal cognitive 

functioning and about the brain areas responsible 

for different cognitive processes.
The huge increase in scienti˚ c interest in the 
workings of the brain is mirrored in the popular 

media Œ numerous books, ˚ lms, and television 

programmes have been devoted to the more 

accessible and/or dramatic aspects of cog"
Segment_8,"nitive   neuroscience. Increasingly, media coverage   includes  coloured pictures of the brain, showing  clearly which parts of the  brain are most  activated  when people perform  various tasks. There are four main approaches to human  cognition (see the box below). Bear in mind,   however, that re",Explores how attention influences cognition.,"awareness, perception, recognition",Nested under Chapter on awareness,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_271,"nitive 

neuroscience. Increasingly, media coverage 

includes 
coloured pictures of the brain, showing 
clearly which parts of the 
brain are most 
activated 
when people perform 
various tasks.
There are four main approaches to human 
cognition (see the box below). Bear in mind, 

however, that researchers increasingly combine  

two or even more of these approaches. A 

considerable amount of research involving 
Approaches to human cognition
1. 
Experimental
 
cognitive psycholog y
: this 
approach involves trying to understand human 

cognition by using behavioural evidence. 

Since beha vioural data are of great impor-

tance within cognitive neuroscience and 

cognitive neuro psychology, the inß uence 

of cognitive psychology is enormous.
2. 
Cognitive neuroscience
: this approach involves 

using evidence from behaviour and from 

the brain to understand human cognition.
3. 
Cognitive neuropsychology
: this approach 

involves studying brain-damaged patients 

as a way of understanding normal human 

cognition. It was originally closely linked to 

cognitive psychology but has recently also 

become linked to cognitive neuroscience.
4. 
Computational cognitive science
: this approach 

involves developing computa
tional models 

to further our understanding 
of human 
cognition; such models increasingly take 

account of our knowledge of behaviour  

and the brain.
bottom-up processing:
 processing that is 
directly inß uenced by environmental stimuli; see 

top-down processing
.
KEY TERM
9781841695402_4_001.indd   2
9781841695402_4_001.indd   2
12/21/09   2:07:07 PM

12/21/09   2:07:07 PM

1 APPRO
ACHES TO HUMAN COGNITION 
3
phrase (i.e., top-down processing) dominated 
the information actually available from the 

stimulus (i.e., bottom-up processing).
The traditional approach was also over-
simpli˚
 ed in assuming that processing is 
typically serial. In fact, there are numerous 

situations in which some (or all) of the processes  

involved in a cogniti"
Segment_9,"ve task occur at the same   time Œ this is known as  parallel processing . It   is often hard to know whether processing on   a given task is serial or parallel. However, we   are much more likely to use parallel processing   when performing a task on which we are highly   practised than one we are",Explores how awareness influences cognition.,"attention, emotion, recognition",Nested under Chapter on perception,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_170,"ve task occur at the same 

time Œ this is known as 
parallel processing
. It 

is often hard to know whether processing on 

a given task is serial or parallel. However, we 

are much more likely to use parallel processing 

when performing a task on which we are highly 

practised than one we are just starting to learn 

(see Chapter 5). For example, someone taking 

their ˚ rst driving lesson ˚ nds it almost impossible 

to change gear, to steer accurately, and to pay 

attention to other road users at the same time. 

In contrast, an experienced driver ˚
 nds it easy 
and can even hold a conversation as well.
For many years, nearly all research on human 
cognition involved carrying out experiments on 

healthy individuals under laboratory conditions. 

Such experiments are typically tightly controlled 

and ﬁscienti˚ cﬂ. Researchers have shown great 

ingenuity in designing experiments to reveal 

the processes involved in attention, perception, 

learning, memory, reasoning, and so on. As a 

consequence, the ˚ ndings of cognitive psycholo-

gists have had 
a major in˜ uence on the research 
conducted by cognitive neuroscientists. Indeed, 

as we will see, nearly all the research discussed 

in this book owes much to the cognitive psycho-

logical approach.
An important issue that cognitive psychol-
ogists have addressed is the task impurity 
at any moment in time. This is known as 
serial 
processing
, meaning that the current process 

is completed before the next one starts.
The above approach represents a drastic 
oversimpli˚
 cation of a complex reality. There 
are numerous situations in which processing 

is not exclusively bottom-up but also involves 

top-down processing. 
Top-down processing
 

is processing in˜ uenced by the individual™s 

expectations and knowledge rather than simply 

by the stimulus itself. Look at the triangle shown 

in Figure 1.2 and read what it says. Unless you 

are familiar with the trick, you probably read 

it as, ﬁParis i"
Segment_10,"n the springﬂ. If so, look again,   and you will see that the word ﬁtheﬂ is repeated.   Your expectation that it was the well-known  PARIS IN THE THE SPRING Figure 1.2  Diagram to demonstrate top-down  processing. STIMULUS Attention Perception Thought processes Decision RESPONSE OR ACTION Figure 1.1",Explores how attention influences cognition.,"perception, recognition, emotion",Nested under Chapter on memory,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_256,"n the springﬂ. If so, look again, 

and you will see that the word ﬁtheﬂ is repeated. 

Your expectation that it was the well-known 
PARIS
IN THE
THE SPRING
Figure 1.2 
Diagram to demonstrate top-down 
processing.
STIMULUS
Attention
Perception
Thought
processes
Decision
RESPONSE
OR ACTION
Figure 1.1 
An early version of the information-
processing appr
oach.
serial processing:
 processing in which one 
process is completed before the next one starts; 

see 
parallel processing
.
top-down processing:
 stimulus processing that 

is inß uenced by factors such as the individualÕs 

past experience and expectations.

parallel processing:
 processing in which two 

or more cognitive processes occur at the same 

time; see 
serial processing
.
KEY TERMS
9781841695402_4_001.indd   3
9781841695402_4_001.indd   3
12/21/09   2:07:07 PM

12/21/09   2:07:07 PM

4
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
Finally, the selection of tasks by cognitive 
neuroscientists for their brain-imaging studies 

is in˜ uenced by the theoretical and empirical 

efforts of cognitive psychologists.
Limitations
In spite of cognitive psychology™s enormous 

contributions to our knowledge of human 

cognition, the approach has various limitations. 

We will brie˜ y consider ˚ ve such limitations 

here. First, how people behave in the laboratory 

may differ from how they behave in everyday 

life. The concern is that laboratory research 

lacks 
ecological validity
 Œ the extent to which 
problem Œ many cognitive tasks involve the 

use of a complex mixture of different processes, 

making it hard to interpret the ˚
 ndings. This 
issue has been addressed in various ways. 

For example, suppose we are interested in the 

inhibitory processes used when a task requires 

us to inhibit deliberately some dominant response. 

Miyake, Friedman, Emerson, Witzki, Howerter, 

and Wager (2000) studied three tasks that 

require such inhibitory processes: the Stroop 

task; the anti-saccade task; and the s"
